date,geography,geography code,Multiple ethnic groups in household: Total: All households,Multiple ethnic groups in household: One-person household,Multiple ethnic groups in household: All household members have the same ethnic group,Multiple ethnic groups in household: Ethnic groups differ between generations but not within partnerships,Multiple ethnic groups in household: Ethnic groups differ within partnerships,Multiple ethnic groups in household: Any other combination of multiple ethnic identities,ethnic groups
2021,Hartlepool,E06000001,40932,13616,26300,176,606,234,0.024821655
2021,Middlesbrough,E06000002,60262,19964,36915,735,1624,1024,0.056138197
2021,Redcar and Cleveland,E06000003,61638,20663,39331,323,1023,298,0.026671858
2021,Stockton-on-Tees,E06000004,83759,25980,54307,696,2088,688,0.041452262
2021,Darlington,E06000005,48918,16714,30004,360,1424,416,0.04497322
2021,Halton,E06000006,55951,17702,35879,451,1492,427,0.042358492
2021,Warrington,E06000007,90538,27364,57844,896,3493,941,0.058870309
2021,Blackburn with Darwen,E06000008,58767,17578,37636,701,1985,867,0.060459101
2021,Blackpool,E06000009,64789,24588,36982,662,1787,770,0.04968436
2021,"Kingston upon Hull, City of",E06000010,115472,39446,69204,1406,3176,2240,0.059079257
2021,East Riding of Yorkshire,E06000011,152066,45678,100603,801,4098,886,0.038042692
2021,North East Lincolnshire,E06000012,69826,22718,44528,460,1524,596,0.036948987
2021,North Lincolnshire,E06000013,73173,21366,48442,546,2044,775,0.045986908
2021,York,E06000014,85459,26640,51471,763,4287,2298,0.085982752
2021,Derby,E06000015,105652,33054,61786,2323,5562,2927,0.102335971
2021,Leicester,E06000016,127388,35173,76004,3505,7247,5459,0.127256884
2021,Rutland,E06000017,16694,4786,10826,113,834,135,0.064813706
2021,Nottingham,E06000018,124745,41971,63535,4162,7751,7326,0.154226622
2021,"Herefordshire, County of",E06000019,82828,25434,52758,690,3018,928,0.055971411
2021,Telford and Wrekin,E06000020,76510,21205,49730,1133,3110,1332,0.072866292
2021,Stoke-on-Trent,E06000021,110400,36179,67554,1532,3211,1924,0.060389493
2021,Bath and North East Somerset,E06000022,79250,23077,47283,948,5182,2760,0.112176656
2021,"Bristol, City of",E06000023,191638,57862,103612,4085,15366,10713,0.157400933
2021,North Somerset,E06000024,94649,29090,59068,953,4376,1162,0.0685797
2021,South Gloucestershire,E06000025,118101,30747,77231,1593,6139,2391,0.08571477
2021,Plymouth,E06000026,114558,37338,69938,1034,4130,2118,0.063566054
2021,Torbay,E06000027,62994,21883,37400,556,2329,826,0.058910372
2021,Swindon,E06000030,95861,27219,59094,1660,5767,2121,0.09960255
2021,Peterborough,E06000031,84533,23516,50234,2461,5267,3055,0.127559651
2021,Luton,E06000032,78940,21068,44688,3236,6048,3900,0.167012921
2021,Southend-on-Sea,E06000033,78344,26102,44583,1381,4713,1565,0.097761156
2021,Thurrock,E06000034,66377,16180,42332,1922,3862,2081,0.118489838
2021,Medway,E06000035,111458,30462,70142,2178,6049,2627,0.097381973
2021,Bracknell Forest,E06000036,50248,13465,30463,955,4170,1195,0.12577615
2021,West Berkshire,E06000037,66658,18008,42021,836,4695,1098,0.099447928
2021,Reading,E06000038,67683,19262,35849,2206,6372,3994,0.185748268
2021,Slough,E06000039,52423,11948,31609,2033,4023,2810,0.169124239
2021,Windsor and Maidenhead,E06000040,60931,16715,34638,1240,6552,1786,0.157194203
2021,Wokingham,E06000041,69164,16265,44297,1164,5973,1465,0.12437106
2021,Milton Keynes,E06000042,113102,29795,67310,3207,8887,3903,0.141438701
2021,Brighton and Hove,E06000043,121402,42101,57526,2484,12206,7085,0.179362778
2021,Portsmouth,E06000044,86155,27607,49560,1345,4357,3286,0.104323603
2021,Southampton,E06000045,102291,33711,55531,2109,6382,4558,0.12756743
2021,Isle of Wight,E06000046,64774,22484,39025,466,2206,593,0.050406027
2021,County Durham,E06000047,234761,79529,147551,1074,4565,2042,0.032718382
2021,Cheshire East,E06000049,174856,53136,110638,1471,7860,1751,0.063377865
2021,Cheshire West and Chester,E06000050,155154,46887,98927,1233,6449,1658,0.060198255
2021,Shropshire,E06000051,139579,41428,91370,839,4633,1309,0.048581807
