date,geography,geography code,General health: Total: All usual residents,General health: Very good health,General health: Good health,General health: Fair health,General health: Bad health,General health: Very bad health,health
2021,Hartlepool,E06000001,92338,39817,30749,14415,5625,1732,0.920325327
2021,Middlesbrough,E06000002,143924,67207,46382,19821,7969,2545,0.926947556
2021,Redcar and Cleveland,E06000003,136531,58085,46416,21633,7916,2481,0.923848796
2021,Stockton-on-Tees,E06000004,196595,91479,65521,27307,9392,2896,0.937495867
2021,Darlington,E06000005,107800,48749,37324,15383,5016,1328,0.941150278
2021,Halton,E06000006,128480,59066,41455,18088,7491,2380,0.923170922
2021,Warrington,E06000007,210974,105613,69138,25599,8265,2359,0.949643084
2021,Blackburn with Darwen,E06000008,154738,73950,50010,20507,7826,2445,0.933623286
2021,Blackpool,E06000009,141036,56933,47255,23963,9777,3108,0.908640347
2021,"Kingston upon Hull, City of",E06000010,267014,115776,93150,39851,13999,4238,0.93170021
2021,East Riding of Yorkshire,E06000011,342215,153547,121117,49161,14088,4302,0.946261853
2021,North East Lincolnshire,E06000012,156966,67586,54939,24237,7911,2293,0.934992291
2021,North Lincolnshire,E06000013,169680,72786,60954,25702,8003,2235,0.939662895
2021,York,E06000014,202821,98610,71033,24604,6788,1786,0.957726271
2021,Derby,E06000015,261364,119809,90551,35857,11542,3605,0.942046342
2021,Leicester,E06000016,368571,179719,123425,46156,14749,4522,0.94771428
2021,Rutland,E06000017,41049,20666,14063,4869,1169,282,0.964652001
2021,Nottingham,E06000018,323632,153956,108292,41863,14787,4734,0.93968149
2021,"Herefordshire, County of",E06000019,187034,85521,65655,26040,7641,2177,0.94750687
2021,Telford and Wrekin,E06000020,185541,85273,63231,25683,8812,2542,0.938805978
2021,Stoke-on-Trent,E06000021,258369,110241,90840,38276,14546,4466,0.926415321
2021,Bath and North East Somerset,E06000022,193409,100186,63514,21853,6121,1735,0.959381415
2021,"Bristol, City of",E06000023,472465,240060,154643,54311,18032,5419,0.950364577
2021,North Somerset,E06000024,216727,103098,73421,28789,8897,2522,0.947311595
2021,South Gloucestershire,E06000025,290424,144395,99207,34595,9529,2698,0.957899485
2021,Plymouth,E06000026,264695,121117,89371,37196,13109,3902,0.93573358
2021,Torbay,E06000027,139324,58842,47697,22578,7894,2313,0.926739112
2021,Swindon,E06000030,233410,112213,82155,28667,8185,2190,0.955550319
2021,Peterborough,E06000031,215673,99550,77378,27730,8582,2433,0.948927311
2021,Luton,E06000032,225261,109654,77855,27073,8162,2517,0.95259277
2021,Southend-on-Sea,E06000033,180686,84380,62139,24096,7793,2278,0.944262422
2021,Thurrock,E06000034,176001,89350,58689,20323,5904,1735,0.956596838
2021,Medway,E06000035,279775,132845,96739,35907,11171,3113,0.948944688
2021,Bracknell Forest,E06000036,124610,65829,42515,12273,3147,846,0.967956023
2021,West Berkshire,E06000037,161449,82413,55946,17685,4319,1086,0.966521936
2021,Reading,E06000038,174224,89196,60019,18627,5018,1364,0.963368996
2021,Slough,E06000039,158500,81941,53816,16804,4625,1314,0.962529968
2021,Windsor and Maidenhead,E06000040,153496,85594,48793,14471,3636,1002,0.969784229
2021,Wokingham,E06000041,177500,97553,58866,16372,3676,1033,0.973470423
2021,Milton Keynes,E06000042,287060,146636,96796,31721,9239,2668,0.958520867
2021,Brighton and Hove,E06000043,277103,139078,91878,32118,10757,3272,0.949372616
2021,Portsmouth,E06000044,208003,98505,72447,26740,8000,2311,0.9504286
2021,Southampton,E06000045,248922,118703,87353,30497,9536,2833,0.950309736
2021,Isle of Wight,E06000046,140459,56014,51903,23077,7386,2079,0.932613788
2021,County Durham,E06000047,522068,224293,176980,81624,30167,9004,0.924969544
2021,Cheshire East,E06000049,398769,198755,132827,48431,14513,4243,0.952965251
2021,Cheshire West and Chester,E06000050,357150,174349,118810,45293,14499,4199,0.947646647
2021,Shropshire,E06000051,323606,150899,112330,43932,12796,3649,0.94918203
2021,Cornwall,E06000052,570305,260855,191185,82985,26972,8308,0.938138365
2021,Isles of Scilly,E06000053,2054,1054,677,240,66,17,0.959591042
2021,Wiltshire,E06000054,510333,252803,173908,62034,16995,4593,0.957698209
2021,Bedford,E06000055,185225,90419,64772,21942,6357,1735,0.956312593
2021,Central Bedfordshire,E06000056,294252,148210,101486,33332,8817,2407,0.961855824
2021,Northumberland,E06000057,320567,140289,110887,49447,15644,4300,0.937785237
2021,"Bournemouth, Christchurch and Poole",E06000058,400196,190242,136523,52466,16230,4735,0.94761317
2021,Dorset,E06000059,379579,170366,135867,54010,15166,4170,0.949059353
2021,Buckinghamshire,E06000060,553079,293915,183564,57178,14525,3897,0.966691919
2021,North Northamptonshire,E06000061,359524,166047,128657,47271,13718,3831,0.951188238
2021,West Northamptonshire,E06000062,425725,209457,149226,49482,13891,3669,0.958752716
2021,Cambridge,E07000008,145675,80195,46807,13957,3715,1001,0.967626566
2021,East Cambridgeshire,E07000009,87762,42423,30830,10879,2859,771,0.958638135
2021,Fenland,E07000010,102462,41264,38407,16256,5064,1471,0.936220257
2021,Huntingdonshire,E07000011,180833,86577,64569,22026,6085,1576,0.957634945
2021,South Cambridgeshire,E07000012,162116,84637,54501,17419,4313,1246,0.965709739
2021,Allerdale,E07000026,96154,43162,32866,14357,4498,1271,0.940002496
2021,Barrow-in-Furness,E07000027,67407,29262,23259,10057,3792,1037,0.928360556
2021,Carlisle,E07000028,110024,50139,38022,15476,4971,1416,0.941949029
2021,Copeland,E07000029,67076,29807,22281,10387,3572,1029,0.931406166
2021,Eden,E07000030,54735,25678,19370,7256,1908,523,0.955586005
2021,South Lakeland,E07000031,104450,50056,36405,13384,3630,975,0.95591192
2021,Amber Valley,E07000032,126208,56072,44733,18298,5613,1492,0.943704044
