date,geography,geography code,Occupancy rating for bedrooms: Total: All households,Occupancy rating for bedrooms: Occupancy rating of bedrooms: +2 or more,Occupancy rating for bedrooms: Occupancy rating of bedrooms: +1,Occupancy rating for bedrooms: Occupancy rating of bedrooms: 0,Occupancy rating for bedrooms: Occupancy rating of bedrooms: -1,Occupancy rating for bedrooms: Occupancy rating of bedrooms: -2 or less,Occupancy_rating_for_bedrooms
2021,Hartlepool,E06000001,40932,15519,15242,9406,696,69,0.751514707
2021,Middlesbrough,E06000002,60262,21319,21670,15214,1707,352,0.713368292
2021,Redcar and Cleveland,E06000003,61638,24552,22863,13129,978,116,0.769249489
2021,Stockton-on-Tees,E06000004,83757,35963,29707,16406,1393,288,0.78405387
2021,Darlington,E06000005,48917,17569,19069,11282,905,92,0.748982971
2021,Halton,E06000006,55952,21441,19918,13390,1091,112,0.73918716
2021,Warrington,E06000007,90538,37494,30795,20269,1798,182,0.754257881
2021,Blackburn with Darwen,E06000008,58766,16344,21980,16722,3006,714,0.652145799
2021,Blackpool,E06000009,64791,21009,23441,18851,1354,136,0.686052075
2021,"Kingston upon Hull, City of",E06000010,115472,31467,44889,34970,3625,521,0.661251212
2021,East Riding of Yorkshire,E06000011,152066,69541,55234,25390,1735,166,0.820531874
2021,North East Lincolnshire,E06000012,69826,29021,24686,14870,1133,116,0.769154756
2021,North Lincolnshire,E06000013,73173,32097,25678,13897,1275,226,0.78956719
2021,York,E06000014,85459,32613,30836,20430,1445,135,0.742449596
2021,Derby,E06000015,105652,35239,36442,28700,3950,1321,0.678463257
2021,Leicester,E06000016,127388,30314,36177,45144,11677,4076,0.521956542
2021,Rutland,E06000017,16694,9049,5117,2363,148,17,0.848568348
2021,Nottingham,E06000018,124745,34257,41549,41406,6147,1386,0.607687683
2021,"Herefordshire, County of",E06000019,82827,37669,25985,17702,1335,136,0.768517512
2021,Telford and Wrekin,E06000020,76510,30624,26980,16968,1669,269,0.752895046
2021,Stoke-on-Trent,E06000021,110400,29987,44280,31349,4125,659,0.672708333
2021,Bath and North East Somerset,E06000022,79250,32037,25309,20184,1570,150,0.723608833
2021,"Bristol, City of",E06000023,191637,54309,61747,65897,8076,1608,0.605603302
2021,North Somerset,E06000024,94648,40299,32456,20197,1542,154,0.768690305
2021,South Gloucestershire,E06000025,118101,51532,38504,25456,2327,282,0.762364417
2021,Plymouth,E06000026,114557,36516,40333,34668,2779,261,0.670836352
2021,Torbay,E06000027,62994,20756,22943,17779,1348,168,0.693700987
2021,Swindon,E06000030,95862,34753,31399,25600,3349,761,0.690075317
2021,Peterborough,E06000031,84533,28513,26745,24147,4200,928,0.653685543
2021,Luton,E06000032,78940,19317,21559,28456,7592,2016,0.517810996
2021,Southend-on-Sea,E06000033,78344,23021,26321,25698,2979,325,0.629812111
2021,Thurrock,E06000034,66377,18567,21545,21743,3899,623,0.604305708
2021,Medway,E06000035,111458,36909,37583,31917,4401,648,0.668341438
2021,Bracknell Forest,E06000036,50248,19108,16121,13444,1396,179,0.701102531
2021,West Berkshire,E06000037,66657,29214,20966,14946,1371,160,0.752809157
2021,Reading,E06000038,67683,18411,20473,24025,3951,823,0.574501721
2021,Slough,E06000039,52423,9557,13307,21272,6570,1717,0.43614444
2021,Windsor and Maidenhead,E06000040,60932,25549,18880,14431,1718,354,0.729157093
2021,Wokingham,E06000041,69164,33715,21030,13047,1230,142,0.791524493
2021,Milton Keynes,E06000042,113102,40160,35242,31582,5235,883,0.666672561
2021,Brighton and Hove,E06000043,121402,29532,37088,49366,4910,506,0.548755375
2021,Portsmouth,E06000044,86155,24041,28969,29378,3348,419,0.615286402
2021,Southampton,E06000045,102291,24485,32346,39508,5204,748,0.555581625
2021,Isle of Wight,E06000046,64775,23365,24246,15809,1246,109,0.735021227
2021,County Durham,E06000047,234761,87764,96974,46407,3282,334,0.786919463
2021,Cheshire East,E06000049,174856,80972,59190,32021,2319,354,0.801585304
2021,Cheshire West and Chester,E06000050,155155,69473,53317,29768,2294,303,0.791402146
2021,Shropshire,E06000051,139579,64362,47155,25599,2053,410,0.798952564
2021,Cornwall,E06000052,250535,99048,88767,57552,4615,553,0.749655737
2021,Isles of Scilly,E06000053,942,368,305,256,10,3,0.714437367
2021,Wiltshire,E06000054,215083,98103,70714,42373,3488,405,0.784892344
2021,Bedford,E06000055,74950,29198,22401,20205,2664,482,0.68844563
2021,Central Bedfordshire,E06000056,120755,51010,40247,26667,2527,304,0.75572026
2021,Northumberland,E06000057,146922,63679,53562,27828,1726,127,0.797981242
2021,"Bournemouth, Christchurch and Poole",E06000058,173842,53841,60344,53700,5367,590,0.656832066
2021,Dorset,E06000059,169261,74823,56974,34653,2537,274,0.778661357
2021,Buckinghamshire,E06000060,220329,95963,66748,50618,5950,1050,0.738491075
2021,North Northamptonshire,E06000061,148918,61236,50942,32738,3545,457,0.753287044
2021,West Northamptonshire,E06000062,172640,70398,55985,39641,5656,960,0.732060936
2021,Cambridge,E07000008,52472,15772,15841,18508,1733,618,0.6024737
2021,East Cambridgeshire,E07000009,37203,16694,12698,7145,605,61,0.790043814
2021,Fenland,E07000010,44083,16371,16056,10358,1165,133,0.735589683
2021,Huntingdonshire,E07000011,76881,36398,23961,15090,1291,141,0.785096448
2021,South Cambridgeshire,E07000012,66995,32580,21122,12325,883,85,0.801582208
2021,Allerdale,E07000026,43973,19871,16620,7014,425,43,0.829850135
2021,Barrow-in-Furness,E07000027,31259,11057,12630,6997,529,46,0.757765763
2021,Carlisle,E07000028,50663,20297,19710,9945,635,76,0.789668989
2021,Copeland,E07000029,30789,14242,11740,4460,327,20,0.843872812
2021,Eden,E07000030,24615,12244,8322,3759,243,47,0.835506805
2021,South Lakeland,E07000031,47657,21909,16684,8520,514,30,0.809807583
2021,Amber Valley,E07000032,56277,23033,21453,10912,806,73,0.79048279
2021,Bolsover,E07000033,35262,13397,14632,6550,604,79,0.794878339
2021,Chesterfield,E07000034,48057,17258,18075,11790,858,76,0.73523108
2021,Derbyshire Dales,E07000035,32282,15684,10830,5456,286,26,0.821324577
2021,Erewash,E07000036,50334,19668,19156,10592,850,68,0.771327532
2021,High Peak,E07000037,40772,16417,14930,8747,622,56,0.768836456
2021,North East Derbyshire,E07000038,45987,19830,17451,8127,534,45,0.810685629
2021,South Derbyshire,E07000039,45240,20977,15885,7695,619,64,0.814809903
2021,East Devon,E07000040,66789,29481,23792,12517,862,137,0.797631346
2021,Exeter,E07000041,52554,17966,17709,15553,1190,136,0.678825589
2021,Mid Devon,E07000042,35633,16065,11696,7237,579,56,0.779081189
2021,North Devon,E07000043,43197,18600,14728,9204,599,66,0.77153506
2021,South Hams,E07000044,39335,18663,12763,7412,445,52,0.798932249
2021,Teignbridge,E07000045,59838,24765,21662,12529,787,95,0.775878204
