geography code,Name,Geography,Mid-2022,Mid-2011
K02000001,UNITED KINGDOM,Country,"67,596,281","63,285,145"
K03000001,GREAT BRITAIN,Country,"65,685,738","61,470,827"
K04000001,ENGLAND AND WALES,Country,"60,238,038","56,170,927"
E92000001,ENGLAND,Country,"57,106,398","53,107,169"
E12000001,NORTH EAST,Region,"2,683,040","2,596,441"
E06000047,County Durham,Unitary Authority,"528,127","512,994"
E06000005,Darlington,Unitary Authority,"109,469","105,584"
E06000001,Hartlepool,Unitary Authority,"93,861","92,088"
E06000002,Middlesbrough,Unitary Authority,"148,285","138,368"
E06000057,Northumberland,Unitary Authority,"324,362","316,278"
E06000003,Redcar and Cleveland,Unitary Authority,"137,175","135,164"
E06000004,Stockton-on-Tees,Unitary Authority,"199,966","191,824"
E11000007,Tyne and Wear (Met County),Metropolitan County,"1,141,795","1,104,141"
E08000037,Gateshead,Metropolitan District,"197,722","200,349"
E08000021,Newcastle upon Tyne,Metropolitan District,"307,565","279,092"
E08000022,North Tyneside,Metropolitan District,"210,487","201,206"
E08000023,South Tyneside,Metropolitan District,"148,667","148,164"
E08000024,Sunderland,Metropolitan District,"277,354","275,330"
E12000002,NORTH WEST,Region,"7,516,113","7,055,961"
E06000008,Blackburn with Darwen,Unitary Authority,"155,762","147,657"
E06000009,Blackpool,Unitary Authority,"141,574","142,080"
E06000049,Cheshire East,Unitary Authority,"406,527","370,736"
E06000050,Cheshire West and Chester,Unitary Authority,"361,694","329,526"
E06000063,Cumberland,Unitary Authority,"275,390","274,546"
E06000006,Halton,Unitary Authority,"128,964","125,722"
E06000007,Warrington,Unitary Authority,"211,580","202,709"
E06000064,Westmorland and Furness,Unitary Authority,"227,643","225,271"
E11000001,Greater Manchester (Met County),Metropolitan County,"2,911,744","2,685,386"
E08000001,Bolton,Metropolitan District,"298,903","277,296"
E08000002,Bury,Metropolitan District,"194,606","185,422"
E08000003,Manchester,Metropolitan District,"568,996","502,902"
E08000004,Oldham,Metropolitan District,"243,912","225,157"
E08000005,Rochdale,Metropolitan District,"226,992","211,929"
E08000006,Salford,Metropolitan District,"278,064","234,487"
E08000007,Stockport,Metropolitan District,"297,107","283,253"
E08000008,Tameside,Metropolitan District,"232,753","219,727"
E08000009,Trafford,Metropolitan District,"236,301","227,091"
E08000010,Wigan,Metropolitan District,"334,110","318,122"
