Local Authority code,Local Authority name,Total recorded ASB,Environmental ASB,Nuisance ASB,Personal ASB
,,"23,000",790,"18,879","3,331"
E06000022,Bath and North East Somerset,"2,369",65,"1,985",319
E06000023,"Bristol, City of ","9,036",290,"7,693","1,053"
E06000024,North Somerset,"2,643",92,"2,186",365
E06000066,Somerset,"6,348",223,"4,948","1,177"
E06000025,South Gloucestershire,"2,564",118,"2,039",407
,,,,,
E06000055,Bedford,"2,831",274,"2,381",176
E06000056,Central Bedfordshire,"4,054",408,"3,277",369
E06000032,Luton,"3,571",588,"2,746",237
,,120,8,99,13
,,"12,034","1,118","9,706","1,210"
E07000008,Cambridge,"2,150",173,"1,766",211
E07000009,East Cambridgeshire,855,113,661,81
E07000010,Fenland,"1,295",111,"1,050",134
E07000011,Huntingdonshire,"1,862",184,"1,493",185
E06000031,Peterborough,"4,294",395,"3,459",440
E07000012,South Cambridgeshire,"1,415",122,"1,160",133
E06000049,Cheshire East,"3,309",216,"2,355",738
E06000050,Cheshire West and Chester,"3,470",196,"2,714",560
E06000006,Halton,"1,764",96,"1,308",360
,,100,6,70,24
E06000007,Warrington,"1,830",109,"1,341",380
E09000001,City of London,884,23,825,36
,,"17,100",278,"15,940",882
E06000001,Hartlepool,"2,846",54,"2,644",148
E06000002,Middlesbrough,"5,548",76,"5,199",273
E06000003,Redcar and Cleveland,"3,870",69,"3,591",210
E06000004,Stockton-on-Tees,"4,788",78,"4,465",245
,,48,1,41,6
,,"4,597",247,"3,672",678
E07000026,Allerdale,704,31,563,110
E07000027,Barrow-In-Furness,888,58,700,130
E07000028,Carlisle,"1,251",39,"1,042",170
E07000029,Copeland,667,26,540,101
E07000030,Eden,374,39,286,49
E07000031,South Lakeland,684,51,517,116
,,29,3,24,2
,,"24,163","1,377","18,917","3,869"
E07000032,Amber Valley,"2,941",172,"2,359",410
E07000033,Bolsover,"1,720",86,"1,360",274
E07000034,Chesterfield,"2,963",146,"2,374",443
E06000015,Derby,"7,807",431,"6,086","1,290"
E07000035,Derbyshire Dales,997,60,801,136
E07000036,Erewash,"2,480",118,"1,946",416
E07000037,High Peak,"1,645",115,"1,267",263
E07000038,North East Derbyshire,"1,657",101,"1,235",321
E07000039,South Derbyshire,"1,623",112,"1,239",272
,,330,36,250,44
,,"23,459","1,035","14,158","8,266"
E06000052,Cornwall,"6,977",268,"4,067","2,642"
Combined Local Authorities,,"2,158",119,"1,279",760
E07000041,Exeter,"2,404",122,"1,611",671
E06000053,Isles of Scilly,10,1,6,3
Combined Local Authorities,,"1,847",75,"1,081",691
E06000026,Plymouth,"4,624",164,"2,781","1,679"
Combined Local Authorities,,"2,427",147,"1,410",870
E06000027,Torbay,"3,007",139,"1,918",950
,,5,0,5,0
,,"15,237","1,804","11,673","1,760"
E06000058,"Bournemouth, Christchurch and Poole","6,740",753,"5,258",729
E06000059,Dorset,"5,436",634,"4,095",707
E06000058,"Bournemouth, Christchurch and Poole","2,984",407,"2,269",308
,,77,10,51,16
,,"11,955","3,054","7,434","1,467"
E06000047,County Durham,"9,720","2,532","6,001","1,187"
E06000005,Darlington,"2,235",522,"1,433",280
,,0,0,0,0
,,"5,461",598,"4,056",807
W06000010,Carmarthenshire,"2,281",245,"1,708",328
W06000008,Ceredigion,624,83,445,96
W06000009,Pembrokeshire,"1,288",140,969,179
W06000023,Powys,"1,268",130,934,204
,,0,0,0,0
,,"15,300",882,"9,575","4,843"
E07000066,Basildon,"2,058",92,"1,389",577
E07000067,Braintree,873,54,541,278
E07000068,Brentwood,491,36,290,165
E07000069,Castle Point,680,30,455,195
E07000070,Chelmsford,"1,222",82,765,375
E07000071,Colchester,"1,855",128,"1,116",611
E07000072,Epping Forest,965,69,621,275
E07000073,Harlow,"1,024",39,637,348
E07000074,Maldon,207,20,112,75
E07000075,Rochford,345,25,225,95
E06000033,Southend-on-Sea,"1,861",72,"1,079",710
E07000076,Tendring,"1,065",50,672,343
E06000034,Thurrock,"1,710",80,"1,116",514
,,258,52,138,68
E07000077,Uttlesford,686,53,419,214
,,"10,516",927,"6,082","3,507"
E07000078,Cheltenham,"2,606",216,"1,777",613
E07000079,Cotswold,963,97,577,289
E07000080,Forest of Dean,"1,131",162,533,436
E07000081,Gloucester,"3,140",204,"1,743","1,193"
E07000082,Stroud,"1,407",146,839,422
E07000083,Tewkesbury,"1,169",98,565,506
,,100,4,48,48
,,"69,304","13,325","24,977","31,002"
E08000001,Bolton,"7,181","1,542","2,648","2,991"
E08000002,Bury,"4,135",809,"1,557","1,769"
E08000003,Manchester,"15,243","2,728","5,191","7,324"
,,530,42,107,381
E08000004,Oldham,"6,988","1,552","2,435","3,001"
E08000005,Rochdale,"6,150","1,202","2,144","2,804"
E08000006,Salford,"6,445","1,181","2,059","3,205"
E08000007,Stockport,"6,525","1,139","2,428","2,958"
E08000008,Tameside,"5,964","1,145","2,360","2,459"
E08000009,Trafford,"3,333",785,"1,275","1,273"
,,111,25,66,20
E08000010,Wigan,"6,699","1,175","2,707","2,817"
,,"10,672","1,091","8,243","1,338"
W06000019,Blaenau Gwent,"1,577",190,"1,204",183
W06000018,Caerphilly,"2,840",382,"2,054",404
W06000021,Monmouthshire,"1,047",57,826,164
W06000022,Newport,"3,603",325,"2,931",347
W06000020,Torfaen,"1,584",128,"1,217",239
,,21,9,11,1
,,"17,977","4,560","12,142","1,275"
E07000085,East Hampshire,830,240,525,65
E07000086,Eastleigh,"1,080",285,706,89
E07000087,Fareham,908,242,604,62
E07000088,Gosport,"1,423",413,910,100
E07000090,Havant,"1,185",315,790,80
E06000046,Isle of Wight,"1,200",268,835,97
E07000091,New Forest,939,216,640,83
Combined Local Authorities,,"2,605",682,"1,739",184
E06000044,Portsmouth,"2,812",614,"2,045",153
E06000045,Southampton,"2,546",547,"1,817",182
E07000093,Test Valley,"1,420",445,873,102
,,306,106,166,34
E07000094,Winchester,723,187,492,44
,,"25,506","4,286","15,042","6,178"
E07000095,Broxbourne,"2,261",424,"1,365",472
E07000096,Dacorum,"3,870",607,"2,325",938
E07000242,East Hertfordshire,"2,635",457,"1,530",648
E07000098,Hertsmere,"2,343",422,"1,305",616
E07000099,North Hertfordshire,"2,277",433,"1,283",561
