Local Authority code,Local Authority name,Total recorded crime (excluding fraud),Violence against the person
,,"150,812","58,142"
E06000022,Bath and North East Somerset,"13,676","5,100"
E06000023,"Bristol, City of ","57,946","19,855"
E06000024,North Somerset,"16,195","6,834"
E06000066,Somerset,"41,928","18,176"
E06000025,South Gloucestershire,"19,037","7,553"
,,"2,030",624
,,"50,093","18,230"
E06000055,Bedford,"14,190","5,299"
E06000056,Central Bedfordshire,"15,820","5,574"
E06000032,Luton,"19,111","6,940"
,,972,417
,,"68,881","24,854"
E07000008,Cambridge,"15,306","4,141"
E07000009,East Cambridgeshire,"3,924","1,530"
E07000010,Fenland,"7,729","3,093"
E07000011,Huntingdonshire,"10,510","3,904"
E06000031,Peterborough,"23,089","9,096"
E07000012,South Cambridgeshire,"7,423","2,672"
,,900,418
,,"79,003","35,451"
E06000049,Cheshire East,"25,468","11,364"
E06000050,Cheshire West and Chester,"25,229","11,466"
E06000006,Halton,"12,425","5,680"
,,327,91
E06000007,Warrington,"15,554","6,850"
E09000001,City of London,"8,770","1,296"
,,"76,318","28,481"
E06000001,Hartlepool,"13,416","5,100"
E06000002,Middlesbrough,"24,709","9,348"
E06000003,Redcar and Cleveland,"15,713","5,834"
E06000004,Stockton-on-Tees,"22,452","8,182"
,,28,17
,,"35,569","15,412"
E07000026,Allerdale,"6,543","2,815"
E07000027,Barrow-In-Furness,"5,847","2,700"
E07000028,Carlisle,"9,779","4,195"
E07000029,Copeland,"4,407","2,034"
E07000030,Eden,"3,192","1,243"
E07000031,South Lakeland,"5,458","2,281"
,,343,144
,,"88,910","37,109"
E07000032,Amber Valley,"8,922","3,938"
E07000033,Bolsover,"6,220","2,715"
E07000034,Chesterfield,"10,823","4,741"
E06000015,Derby,"29,939","12,339"
E07000035,Derbyshire Dales,"3,616","1,389"
E07000036,Erewash,"9,442","3,896"
E07000037,High Peak,"5,834","2,415"
E07000038,North East Derbyshire,"5,813","2,583"
E07000039,South Derbyshire,"6,565","2,772"
,,"1,736",321
,,"108,310","48,048"
E06000052,Cornwall,"31,538","14,141"
Combined Local Authorities,,"9,998","4,614"
E07000041,Exeter,"11,027","4,549"
E06000053,Isles of Scilly,71,29
Combined Local Authorities,,"8,545","3,849"
E06000026,Plymouth,"23,476","10,606"
Combined Local Authorities,,"11,812","5,183"
E06000027,Torbay,"11,822","5,068"
,,21,9
,,"51,781","20,419"
E06000058,"Bournemouth, Christchurch and Poole","19,429","7,366"
E06000059,Dorset,"21,409","8,908"
E06000058,"Bournemouth, Christchurch and Poole","10,350","3,833"
,,593,312
,,"64,234","25,028"
E06000047,County Durham,"51,941","20,307"
E06000005,Darlington,"12,009","4,569"
,,284,152
,,"37,115","17,859"
W06000010,Carmarthenshire,"11,322","5,391"
W06000008,Ceredigion,"4,023","1,975"
W06000009,Pembrokeshire,"7,926","3,942"
W06000023,Powys,"6,671","3,222"
,,"7,173","3,329"
,,"154,222","61,357"
E07000066,Basildon,"18,528","7,519"
E07000067,Braintree,"10,089","4,179"
E07000068,Brentwood,"5,588","1,693"
E07000069,Castle Point,"5,380","2,181"
E07000070,Chelmsford,"15,780","6,108"
E07000071,Colchester,"16,706","7,370"
E07000072,Epping Forest,"9,824","3,424"
E07000073,Harlow,"10,637","3,814"
E07000074,Maldon,"3,352","1,521"
E07000075,Rochford,"4,430","1,784"
E06000033,Southend-on-Sea,"18,457","7,631"
E07000076,Tendring,"12,406","5,770"
E06000034,Thurrock,"16,020","5,687"
,,"1,643",788
E07000077,Uttlesford,"5,382","1,888"
,,"52,329","21,655"
E07000078,Cheltenham,"11,639","4,193"
E07000079,Cotswold,"4,905","1,834"
E07000080,Forest of Dean,"5,268","2,596"
E07000081,Gloucester,"16,194","7,032"
E07000082,Stroud,"7,390","3,022"
E07000083,Tewkesbury,"5,603","2,423"
,,"1,330",555
,,"342,159","132,462"
E08000001,Bolton,"33,337","13,904"
E08000002,Bury,"20,215","8,008"
E08000003,Manchester,"94,616","32,256"
,,"1,859",230
E08000004,Oldham,"28,695","12,313"
E08000005,Rochdale,"26,088","10,823"
E08000006,Salford,"32,710","13,044"
E08000007,Stockport,"25,545","9,586"
E08000008,Tameside,"24,891","10,613"
E08000009,Trafford,"18,507","6,589"
,,612,220
E08000010,Wigan,"35,084","14,876"
,,"56,384","23,138"
W06000019,Blaenau Gwent,"7,652","3,337"
W06000018,Caerphilly,"14,966","6,752"
W06000021,Monmouthshire,"5,823","2,306"
W06000022,Newport,"18,866","6,880"
W06000020,Torfaen,"9,077","3,863"
,,,
,,"159,987","65,283"
E07000085,East Hampshire,"6,217","2,425"
E07000086,Eastleigh,"8,453","3,446"
E07000087,Fareham,"5,866","2,403"
E07000088,Gosport,"6,728","3,064"
E07000090,Havant,"10,158","4,498"
E06000046,Isle of Wight,"10,969","5,152"
E07000091,New Forest,"10,675","4,163"
Combined Local Authorities,,"24,559","9,710"
E06000044,Portsmouth,"25,393","10,485"
E06000045,Southampton,"32,635","12,789"
E07000093,Test Valley,"7,902","3,251"
,,"3,013","1,103"
E07000094,Winchester,"7,419","2,794"
,,"74,470","25,876"
E07000095,Broxbourne,"6,769","2,384"
E07000096,Dacorum,"9,778","3,039"
E07000242,East Hertfordshire,"7,086","2,539"
E07000098,Hertsmere,"7,538","2,420"
E07000099,North Hertfordshire,"6,129","2,427"
E07000240,St Albans,"8,110","2,578"
E07000243,Stevenage,"6,820","2,652"
E07000102,Three Rivers,"4,709","1,680"
,,661,277
E07000103,Watford,"8,253","2,722"
E07000241,Welwyn Hatfield,"8,617","3,158"
,,"99,048","41,218"
E06000011,East Riding of Yorkshire,"19,488","8,487"
E06000010,"Kingston upon Hull, City of","35,307","14,403"
E06000012,North East Lincolnshire,"19,013","8,199"
E06000013,North Lincolnshire,"14,333","5,656"
,,"10,907","4,473"
,,"166,133","71,150"
E07000105,Ashford,"10,712","4,456"
E07000106,Canterbury,"14,639","6,165"
Combined Local Authorities,,"22,372","8,623"
E07000108,Dover,"10,324","4,824"
E07000112,Folkestone and Hythe,"8,733","4,170"
E07000110,Maidstone,"15,251","6,453"
E06000035,Medway,"28,249","12,933"
E07000111,Sevenoaks,"7,534","2,793"
E07000113,Swale,"14,724","6,318"
E07000114,Thanet,"15,220","7,069"
E07000115,Tonbridge and Malling,"8,765","3,346"
E07000116,Tunbridge Wells,"7,890","3,303"
,,"1,720",697
,,"129,170","54,619"
E06000008,Blackburn with Darwen,"13,776","5,769"
E06000009,Blackpool,"22,268","9,835"
E07000117,Burnley,"10,181","4,074"
E07000118,Chorley,"7,364","3,339"
E07000119,Fylde,"4,510","2,024"
E07000120,Hyndburn,"8,041","3,436"
E07000121,Lancaster,"10,648","4,314"
E07000122,Pendle,"6,428","2,874"
E07000123,Preston,"15,881","6,181"
E07000124,Ribble Valley,"2,422","1,013"
E07000125,Rossendale,"4,613","1,897"
E07000126,South Ribble,"6,707","2,733"
,,"3,394","1,386"
E07000127,West Lancashire,"5,768","2,621"
E07000128,Wyre,"7,169","3,123"
,,"99,891","37,759"
E07000129,Blaby,"7,079","2,406"
E07000130,Charnwood,"14,165","5,024"
E07000131,Harborough,"4,906","1,872"
E07000132,Hinckley and Bosworth,"7,702","2,974"
E06000016,Leicester,"46,881","17,909"
E07000133,Melton,"3,396","1,378"
E07000134,North West Leicestershire,"8,186","3,139"
E07000135,Oadby and Wigston,"3,898","1,589"
E06000017,Rutland,"1,772",722
,,"1,906",746
,,"55,187","22,915"
E07000136,Boston,"5,616","2,510"
E07000137,East Lindsey,"10,452","4,727"
E07000138,Lincoln,"13,088","4,845"
E07000139,North Kesteven,"4,726","2,149"
E07000140,South Holland,"5,136","2,432"
E07000141,South Kesteven,"7,814","3,036"
,,"1,932",797
E07000142,West Lindsey,"6,423","2,419"
,,"145,268","60,338"
E08000011,Knowsley,"14,322","6,404"
E08000012,Liverpool,"65,627","24,748"
E08000014,Sefton,"22,695","10,392"
E08000013,St. Helens,"18,100","7,748"
,,89,44
E08000015,Wirral,"24,435","11,002"
,,"931,119","251,279"
E09000002,Barking and Dagenham,"21,870","7,575"
E09000003,Barnet,"28,986","8,184"
E09000004,Bexley,"16,874","5,794"
E09000005,Brent,"31,854","9,446"
E09000006,Bromley,"24,051","7,122"
E09000007,Camden,"40,972","7,729"
E09000008,Croydon,"35,185","11,851"
E09000009,Ealing,"32,726","10,565"
E09000010,Enfield,"29,312","9,191"
E09000011,Greenwich,"28,980","9,679"
E09000012,Hackney,"32,655","8,674"
E09000013,Hammersmith and Fulham,"23,234","5,976"
E09000014,Haringey,"29,661","8,059"
E09000015,Harrow,"16,504","5,234"
E09000016,Havering,"21,269","6,677"
E09000017,Hillingdon,"26,586","8,356"
E09000018,Hounslow,"28,076","9,103"
E09000019,Islington,"28,713","7,077"
E09000020,Kensington and Chelsea,"24,022","4,636"
E09000021,Kingston upon Thames,"12,514","3,673"
E09000022,Lambeth,"36,803","9,796"
E09000023,Lewisham,"29,975","9,568"
E09000024,Merton,"13,996","4,349"
E09000025,Newham,"39,448","10,753"
E09000026,Redbridge,"24,523","8,036"
E09000027,Richmond upon Thames,"11,913","2,980"
E09000028,Southwark,"38,626","9,012"
E09000029,Sutton,"13,174","4,538"
E09000030,Tower Hamlets,"37,138","10,619"
,,"6,562","1,182"
E09000031,Waltham Forest,"23,457","6,526"
E09000032,Wandsworth,"27,219","7,454"
E09000033,Westminster,"94,241","11,865"
,,"59,542","25,864"
E07000143,Breckland,"7,794","3,466"
E07000144,Broadland,"5,118","2,413"
E07000145,Great Yarmouth,"9,347","4,453"
E07000146,King's Lynn and West Norfolk,"9,407","4,081"
E07000147,North Norfolk,"4,558","2,112"
E07000148,Norwich,"16,603","6,418"
E07000149,South Norfolk,"6,181","2,663"
,,534,258
,,"55,917","26,729"
W06000003,Conwy,"10,496","5,150"
W06000004,Denbighshire,"9,676","4,894"
W06000005,Flintshire,"10,583","4,900"
W06000002,Gwynedd,"8,507","3,983"
W06000001,Isle of Anglesey,"3,879","1,983"
,,29,14
W06000006,Wrexham,"12,747","5,805"
,,"47,476","19,243"
E06000014,York,"14,748","5,278"
E06000065,North Yorkshire,"32,577","13,894"
,,151,71
,,"60,147","25,194"
E06000061,North Northamptonshire,"6,111","2,632"
E06000062,West Northamptonshire,"8,220","3,485"
E06000061,North Northamptonshire,"5,499","2,180"
E06000061,North Northamptonshire,"8,137","3,667"
E06000062,West Northamptonshire,"24,717","10,059"
,,304,155
E06000061,North Northamptonshire,"7,159","3,016"
,,"144,130","53,338"
E08000037,Gateshead,"19,020","6,966"
E08000021,Newcastle upon Tyne,"37,511","13,085"
E08000022,North Tyneside,"17,764","6,633"
E06000057,Northumberland,"24,850","9,955"
E08000023,South Tyneside,"15,679","5,932"
E08000024,Sunderland,"29,251","10,745"
,,55,22
,,"101,052","33,888"
E07000170,Ashfield,"10,870","3,580"
E07000171,Bassetlaw,"9,691","3,172"
E07000174,Mansfield,"11,948","4,254"
E07000175,Newark and Sherwood,"8,683","3,041"
E06000018,Nottingham,"39,833","13,091"
Combined Local Authorities,,"18,342","6,208"
,,"1,685",542
,,"113,592","43,219"
W06000013,Bridgend,"10,613","4,369"
W06000015,Cardiff,"39,752","12,449"
Combined Local Authorities,,"23,772","10,508"
W06000012,Neath Port Talbot,"9,502","4,465"
W06000011,Swansea,"19,877","7,425"
,,"1,378",549
W06000014,Vale of Glamorgan ,"8,698","3,454"
,,"154,765","54,755"
E08000016,Barnsley,"26,090","9,668"
E08000017,Doncaster,"40,989","14,485"
E08000018,Rotherham,"25,904","10,003"
E08000019,Sheffield,"60,322","20,110"
,,"1,460",489
,,"86,105","38,068"
E07000192,Cannock Chase,"6,884","3,131"
E07000193,East Staffordshire,"8,749","3,955"
E07000194,Lichfield,"5,829","2,521"
E07000195,Newcastle-under-Lyme,"8,266","3,732"
E07000196,South Staffordshire,"5,587","2,484"
E07000197,Stafford,"8,888","3,989"
E07000198,Staffordshire Moorlands,"4,928","2,523"
E06000021,Stoke-on-Trent,"30,485","12,933"
E07000199,Tamworth,"5,758","2,584"
,,731,216
,,"45,940","19,261"
E07000202,Ipswich,"12,902","5,269"
E07000244,Suffolk Coastal,"5,239","2,153"
,Unassigned Suffolk,580,300
E07000244,Waveney,"8,587","3,584"
Combined Local Authorities,,"18,632","7,955"
,,"75,095","28,219"
E07000207,Elmbridge,"7,737","2,845"
E07000208,Epsom and Ewell,"5,108","1,720"
E07000209,Guildford,"10,943","3,997"
E07000210,Mole Valley,"5,005","1,871"
E07000211,Reigate and Banstead,"9,438","3,906"
E07000212,Runnymede,"6,215","2,295"
E07000213,Spelthorne,"8,521","3,032"
E07000214,Surrey Heath,"4,968","1,977"
E07000215,Tandridge,"4,714","1,828"
,,,
E07000216,Waverley,"5,707","2,023"
E07000217,Woking,"6,739","2,725"
,,"135,944","48,867"
E07000223,Adur,"4,831","1,553"
E07000224,Arun,"11,517","4,475"
E06000043,Brighton and Hove,"29,010","9,672"
E07000225,Chichester,"8,128","2,911"
E07000226,Crawley,"14,504","5,081"
E07000061,Eastbourne,"11,218","3,947"
E07000062,Hastings,"9,549","3,985"
E07000227,Horsham,"7,770","2,690"
E07000063,Lewes,"5,764","2,265"
E07000228,Mid Sussex,"8,131","2,939"
E07000064,Rother,"6,066","2,363"
,,"2,434",870
E07000065,Wealden,"6,660","2,589"
E07000229,Worthing,"10,362","3,527"
,,"174,032","64,763"
E06000060,Buckinghamshire,"11,919","4,873"
E06000036,Bracknell Forest,"7,814","2,833"
E07000177,Cherwell,"11,385","4,395"
E06000060,Buckinghamshire,"3,997","1,505"
E06000042,Milton Keynes,"26,182","10,339"
E07000178,Oxford,"16,164","4,991"
E06000038,Reading,"17,828","6,245"
E06000039,Slough,"15,793","6,012"
E06000060,Buckinghamshire,"4,694","1,461"
E07000179,South Oxfordshire,"6,687","2,531"
,,715,336
E07000180,Vale of White Horse,"6,711","2,793"
E06000037,West Berkshire,"9,245","3,574"
E07000181,West Oxfordshire,"5,470","2,262"
E06000040,Windsor and Maidenhead,"9,478","3,402"
E06000041,Wokingham,"8,318","2,976"
E06000060,Buckinghamshire,"11,632","4,235"
,,"39,788","14,982"
E07000218,North Warwickshire,"4,443","1,557"
E07000219,Nuneaton and Bedworth,"11,232","4,615"
E07000220,Rugby,"6,933","2,733"
Combined Local Authorities,,"16,905","5,921"
,,275,156
,,"86,499","34,089"
E06000019,"Herefordshire, County of","10,903","4,636"
Combined Local Authorities,,"19,840","7,594"
E06000051,Shropshire,"18,043","7,139"
Combined Local Authorities,,"21,632","7,959"
E06000020,Telford and Wrekin,"15,624","6,526"
,,457,235
,,"328,116","132,280"
E08000025,Birmingham,"140,008","57,655"
E08000026,Coventry,"37,561","14,001"
E08000027,Dudley,"26,381","11,131"
E08000028,Sandwell,"36,285","15,591"
E08000029,Solihull,"18,011","6,019"
,,"10,776","3,728"
E08000030,Walsall,"28,739","11,527"
E08000031,Wolverhampton,"30,355","12,628"
,,"289,791","121,005"
E08000032,Bradford,"70,708","31,399"
E08000033,Calderdale,"24,621","10,944"
E08000034,Kirklees,"44,070","19,315"
E08000035,Leeds,"106,219","40,717"
,,19,10
E08000036,Wakefield,"44,154","18,620"
,,"40,716","16,408"
E06000030,Swindon,"16,533","6,625"
,,174,69
E06000054,Wiltshire,"24,009","9,714"
