LAD21CD,LAD21NM,Agricultural_and_Rural,Natural_Ecological_and_Public,Residential_and_Commercial
E06000001,Hartlepool,0.574072939491922,0.17466720459374968,0.25125985591432853
E06000002,Middlesbrough,0.28222488001319995,0.1254262329761846,0.5923488870106155
E06000003,Redcar and Cleveland,0.09239187984962906,0.6278638529642547,0.2797442671861163
E06000004,Stockton-on-Tees,0.5914869055691486,0.157773892080796,0.25073920235005526
E06000005,Darlington,0.7644216260925624,0.07260937831739801,0.16296899559003955
E06000006,Halton,0.37521182893864286,0.19989018284699647,0.4248979882143607
E06000007,Warrington,0.4492997908239437,0.24063710377251407,0.31006310540354215
E06000008,Blackburn with Darwen,0.2834297538716926,0.5421201981801644,0.174450047948143
E06000009,Blackpool,0.07492342124957636,0.12830026669743005,0.7967763120529936
E06000010,"Kingston upon Hull, City of",0.024183639547097204,0.14356479279947362,0.8322515676534292
E06000011,East Riding of Yorkshire,0.8494980094727227,0.0892611532017768,0.061231814916283
E06000012,North East Lincolnshire,0.39614427880835257,0.14770145150237093,0.45615426968927647
E06000013,North Lincolnshire,0.5867431490138437,0.24640675485168106,0.16685009613447518
E06000014,York,0.6810166443075715,0.1776483886155274,0.14133496707690107
E06000015,Derby,0.09708637978291007,0.20973809091400433,0.6931755293030857
E06000016,Leicester,0.07922332784233015,0.2493246517131533,0.6714520204445165
E06000017,Rutland,0.7056914788265631,0.2288548851542354,0.06545363601920141
E06000018,Nottingham,0.08583523975914754,0.24002678703138108,0.6741379732094714
E06000019,"Herefordshire, County of",0.7642234225622526,0.19432245918103405,0.041285100622247155
E06000020,Telford and Wrekin,0.5941384493233847,0.18944698639300345,0.21618692117066063
E06000021,Stoke-on-Trent,0.09525096239014715,0.2961907825186319,0.608558255091221
E06000022,Bath and North East Somerset,0.571144089036983,0.2728851248532684,0.15578935827516657
E06000023,"Bristol, City of",0.05501776492509248,0.3218975602282975,0.62308467484661
E06000024,North Somerset,0.5086324490041294,0.3141013619068141,0.1772134675770701
E06000025,South Gloucestershire,0.6278768490334584,0.1850308183335751,0.18705421645658232
E06000026,Plymouth,0.1466585677750763,0.2808191419812967,0.5725222902436269
E06000027,Torbay,0.07284697462585683,0.8545223480925197,0.07263067728162341
E06000030,Swindon,0.6281038817910942,0.17424409959552142,0.19765201861338436
E06000031,Peterborough,0.6693793014168687,0.1899363928819736,0.1406843057011577
E06000032,Luton,0.1287792147941997,0.19739039899428665,0.6738303862115136
E06000033,Southend-on-Sea,0.8366299066165306,0.025955156548563292,0.13741493683490616
E06000034,Thurrock,0.44663028918274644,0.27226528012586454,0.2811044306913891
