Local Authority code,Local Authority name,Total recorded ASB,Environmental ASB,Nuisance ASB,Personal ASB
Combined Local Authorities,,36588.0,2944.0,26792.0,6852.0
E06000001,Hartlepool,2846.0,54.0,2644.0,148.0
E06000002,Middlesbrough,5548.0,76.0,5199.0,273.0
E06000003,Redcar and Cleveland,3870.0,69.0,3591.0,210.0
E06000004,Stockton-on-Tees,4788.0,78.0,4465.0,245.0
E06000005,Darlington,2235.0,522.0,1433.0,280.0
E06000006,Halton,1764.0,96.0,1308.0,360.0
E06000007,Warrington,1830.0,109.0,1341.0,380.0
E06000008,Blackburn with Darwen,5153.0,39.0,3309.0,1805.0
E06000009,Blackpool,8513.0,69.0,5764.0,2680.0
E06000010,"Kingston upon Hull, City of",3422.0,123.0,2841.0,458.0
E06000011,East Riding of Yorkshire,2371.0,115.0,1882.0,374.0
E06000012,North East Lincolnshire,2085.0,97.0,1684.0,304.0
E06000013,North Lincolnshire,1891.0,78.0,1560.0,253.0
E06000014,York,4718.0,194.0,3736.0,788.0
E06000015,Derby,7807.0,431.0,6086.0,1290.0
E06000016,Leicester,3765.0,563.0,2934.0,268.0
E06000017,Rutland,114.0,20.0,90.0,4.0
E06000018,Nottingham,12677.0,636.0,11117.0,924.0
E06000019,"Herefordshire, County of",2157.0,136.0,1753.0,268.0
E06000020,Telford and Wrekin,2973.0,148.0,2511.0,314.0
E06000021,Stoke-on-Trent,5762.0,58.0,4152.0,1552.0
E06000022,Bath and North East Somerset,2369.0,65.0,1985.0,319.0
E06000023,"Bristol, City of ",9036.0,290.0,7693.0,1053.0
E06000024,North Somerset,2643.0,92.0,2186.0,365.0
E06000025,South Gloucestershire,2564.0,118.0,2039.0,407.0
E06000026,Plymouth,4624.0,164.0,2781.0,1679.0
E06000027,Torbay,3007.0,139.0,1918.0,950.0
E06000030,Swindon,3358.0,149.0,2396.0,813.0
E06000031,Peterborough,4294.0,395.0,3459.0,440.0
E06000032,Luton,3571.0,588.0,2746.0,237.0
E06000033,Southend-on-Sea,1861.0,72.0,1079.0,710.0
E06000034,Thurrock,1710.0,80.0,1116.0,514.0
E06000035,Medway,4915.0,211.0,4244.0,460.0
E06000036,Bracknell Forest,993.0,96.0,745.0,152.0
E06000037,West Berkshire,1285.0,104.0,947.0,234.0
E06000038,Reading,2070.0,148.0,1591.0,331.0
E06000039,Slough,1610.0,120.0,1213.0,277.0
E06000040,Windsor and Maidenhead,835.0,69.0,599.0,167.0
E06000041,Wokingham,912.0,83.0,706.0,123.0
E06000042,Milton Keynes,2358.0,204.0,1628.0,526.0
E06000043,Brighton and Hove,4871.0,187.0,4184.0,500.0
E06000044,Portsmouth,2812.0,614.0,2045.0,153.0
E06000045,Southampton,2546.0,547.0,1817.0,182.0
E06000046,Isle of Wight,1200.0,268.0,835.0,97.0
E06000047,County Durham,9720.0,2532.0,6001.0,1187.0
E06000049,Cheshire East,3309.0,216.0,2355.0,738.0
E06000050,Cheshire West and Chester,3470.0,196.0,2714.0,560.0
E06000051,Shropshire,3430.0,176.0,2885.0,369.0
E06000052,Cornwall,6977.0,268.0,4067.0,2642.0
E06000053,Isles of Scilly,10.0,1.0,6.0,3.0
E06000054,Wiltshire,5427.0,318.0,3772.0,1337.0
E06000055,Bedford,2831.0,274.0,2381.0,176.0
E06000056,Central Bedfordshire,4054.0,408.0,3277.0,369.0
E06000057,Northumberland,7879.0,888.0,5730.0,1261.0
E06000058,"Bournemouth, Christchurch and Poole",9724.0,1160.0,7527.0,1037.0
E06000059,Dorset,5436.0,634.0,4095.0,707.0
E06000060,Aylesbury Vale,3417.0,266.0,2530.0,621.0
E06000065,North Yorkshire,10058.0,519.0,6723.0,2816.0
E06000066,Somerset,6348.0,223.0,4948.0,1177.0
E07000008,Cambridge,2150.0,173.0,1766.0,211.0
E07000009,East Cambridgeshire,855.0,113.0,661.0,81.0
E07000010,Fenland,1295.0,111.0,1050.0,134.0
E07000011,Huntingdonshire,1862.0,184.0,1493.0,185.0
E07000012,South Cambridgeshire,1415.0,122.0,1160.0,133.0
E07000026,Allerdale,704.0,31.0,563.0,110.0
E07000027,Barrow-In-Furness,888.0,58.0,700.0,130.0
E07000028,Carlisle,1251.0,39.0,1042.0,170.0
E07000029,Copeland,667.0,26.0,540.0,101.0
E07000030,Eden,374.0,39.0,286.0,49.0
E07000031,South Lakeland,684.0,51.0,517.0,116.0
E07000032,Amber Valley,2941.0,172.0,2359.0,410.0
E07000033,Bolsover,1720.0,86.0,1360.0,274.0
E07000034,Chesterfield,2963.0,146.0,2374.0,443.0
E07000035,Derbyshire Dales,997.0,60.0,801.0,136.0
E07000036,Erewash,2480.0,118.0,1946.0,416.0
E07000037,High Peak,1645.0,115.0,1267.0,263.0
E07000038,North East Derbyshire,1657.0,101.0,1235.0,321.0
E07000039,South Derbyshire,1623.0,112.0,1239.0,272.0
E07000041,Exeter,2404.0,122.0,1611.0,671.0
E07000061,Eastbourne,1817.0,104.0,1586.0,127.0
E07000062,Hastings,1680.0,74.0,1415.0,191.0
E07000063,Lewes,1122.0,40.0,934.0,148.0
E07000064,Rother,1007.0,62.0,791.0,154.0
E07000065,Wealden,1356.0,63.0,1067.0,226.0
E07000066,Basildon,2058.0,92.0,1389.0,577.0
E07000067,Braintree,873.0,54.0,541.0,278.0
E07000068,Brentwood,491.0,36.0,290.0,165.0
E07000069,Castle Point,680.0,30.0,455.0,195.0
E07000070,Chelmsford,1222.0,82.0,765.0,375.0
E07000071,Colchester,1855.0,128.0,1116.0,611.0
E07000072,Epping Forest,965.0,69.0,621.0,275.0
E07000073,Harlow,1024.0,39.0,637.0,348.0
E07000074,Maldon,207.0,20.0,112.0,75.0
E07000075,Rochford,345.0,25.0,225.0,95.0
E07000076,Tendring,1065.0,50.0,672.0,343.0
E07000077,Uttlesford,686.0,53.0,419.0,214.0
E07000078,Cheltenham,2606.0,216.0,1777.0,613.0
