Local Authority code,Local Authority name,Total recorded crime (excluding fraud),Violence against the person
Combined Local Authorities,,196409.0,78124.0
E06000001,Hartlepool,13416.0,5100.0
E06000002,Middlesbrough,24709.0,9348.0
E06000003,Redcar and Cleveland,15713.0,5834.0
E06000004,Stockton-on-Tees,22452.0,8182.0
E06000005,Darlington,12009.0,4569.0
E06000006,Halton,12425.0,5680.0
E06000007,Warrington,15554.0,6850.0
E06000008,Blackburn with Darwen,13776.0,5769.0
E06000009,Blackpool,22268.0,9835.0
E06000010,"Kingston upon Hull, City of",35307.0,14403.0
E06000011,East Riding of Yorkshire,19488.0,8487.0
E06000012,North East Lincolnshire,19013.0,8199.0
E06000013,North Lincolnshire,14333.0,5656.0
E06000014,York,14748.0,5278.0
E06000015,Derby,29939.0,12339.0
E06000016,Leicester,46881.0,17909.0
E06000017,Rutland,1772.0,722.0
E06000018,Nottingham,39833.0,13091.0
E06000019,"Herefordshire, County of",10903.0,4636.0
E06000020,Telford and Wrekin,15624.0,6526.0
E06000021,Stoke-on-Trent,30485.0,12933.0
E06000022,Bath and North East Somerset,13676.0,5100.0
E06000023,"Bristol, City of ",57946.0,19855.0
E06000024,North Somerset,16195.0,6834.0
E06000025,South Gloucestershire,19037.0,7553.0
E06000026,Plymouth,23476.0,10606.0
E06000027,Torbay,11822.0,5068.0
E06000030,Swindon,16533.0,6625.0
E06000031,Peterborough,23089.0,9096.0
E06000032,Luton,19111.0,6940.0
E06000033,Southend-on-Sea,18457.0,7631.0
E06000034,Thurrock,16020.0,5687.0
E06000035,Medway,28249.0,12933.0
E06000036,Bracknell Forest,7814.0,2833.0
E06000037,West Berkshire,9245.0,3574.0
E06000038,Reading,17828.0,6245.0
E06000039,Slough,15793.0,6012.0
E06000040,Windsor and Maidenhead,9478.0,3402.0
E06000041,Wokingham,8318.0,2976.0
E06000042,Milton Keynes,26182.0,10339.0
E06000043,Brighton and Hove,29010.0,9672.0
E06000044,Portsmouth,25393.0,10485.0
E06000045,Southampton,32635.0,12789.0
E06000046,Isle of Wight,10969.0,5152.0
E06000047,County Durham,51941.0,20307.0
E06000049,Cheshire East,25468.0,11364.0
E06000050,Cheshire West and Chester,25229.0,11466.0
E06000051,Shropshire,18043.0,7139.0
E06000052,Cornwall,31538.0,14141.0
E06000053,Isles of Scilly,71.0,29.0
E06000054,Wiltshire,24009.0,9714.0
E06000055,Bedford,14190.0,5299.0
E06000056,Central Bedfordshire,15820.0,5574.0
E06000057,Northumberland,24850.0,9955.0
E06000058,"Bournemouth, Christchurch and Poole",29779.0,11199.0
E06000059,Dorset,21409.0,8908.0
E06000060,Buckinghamshire,32242.0,12074.0
E06000061,North Northamptonshire,26906.0,11495.0
E06000062,West Northamptonshire,32937.0,13544.0
E06000065,North Yorkshire,32577.0,13894.0
E06000066,Somerset,41928.0,18176.0
E07000008,Cambridge,15306.0,4141.0
E07000009,East Cambridgeshire,3924.0,1530.0
E07000010,Fenland,7729.0,3093.0
E07000011,Huntingdonshire,10510.0,3904.0
E07000012,South Cambridgeshire,7423.0,2672.0
E07000026,Allerdale,6543.0,2815.0
E07000027,Barrow-In-Furness,5847.0,2700.0
E07000028,Carlisle,9779.0,4195.0
E07000029,Copeland,4407.0,2034.0
E07000030,Eden,3192.0,1243.0
E07000031,South Lakeland,5458.0,2281.0
E07000032,Amber Valley,8922.0,3938.0
E07000033,Bolsover,6220.0,2715.0
