geography code,Household composition: Total; measures: Value,Household composition: One person household; measures: Value,Household composition: One person household: Aged 66 years and over; measures: Value,Household composition: One person household: Other; measures: Value,Household composition: Single family household; measures: Value,Household composition: Single family household: All aged 66 years and over; measures: Value,Household composition: Single family household: Married or civil partnership couple; measures: Value,Household composition: Single family household: Married or civil partnership couple: No children; measures: Value,Household composition: Single family household: Married or civil partnership couple: Dependent children; measures: Value,Household composition: Single family household: Married or civil partnership couple: All children non-dependent; measures: Value,Household composition: Single family household: Cohabiting couple family; measures: Value,Household composition: Single family household: Cohabiting couple family: No children; measures: Value,Household composition: Single family household: Cohabiting couple family: With dependent children; measures: Value,Household composition: Single family household: Cohabiting couple family: All children non-dependent; measures: Value,Household composition: Single family household: Lone parent family; measures: Value,Household composition: Single family household: Lone parent family: With dependent children; measures: Value,Household composition: Single family household: Lone parent family: All children non-dependent; measures: Value,Household composition: Single family household: Other single family household; measures: Value,Household composition: Single family household: Other single family household: Other family composition; measures: Value,Household composition: Other household types; measures: Value,Household composition: Other household types: With dependent children; measures: Value,"Household composition: Other household types: Other, including all full-time students and all aged 66 years and over; measures: Value",Population Density: Persons per square kilometre; measures: Value,Multiple ethnic groups in household: Total: All households,Multiple ethnic groups in household: One-person household,Multiple ethnic groups in household: All household members have the same ethnic group,Multiple ethnic groups in household: Ethnic groups differ between generations but not within partnerships,Multiple ethnic groups in household: Ethnic groups differ within partnerships,Multiple ethnic groups in household: Any other combination of multiple ethnic identities,ethnic groups,Proficiency in English language: Total: All usual residents aged 3 years and over,Proficiency in English language: Main language is English (English or Welsh in Wales),Proficiency in English language: Main language is not English (English or Welsh in Wales),Proficiency in English language: Main language is not English (English or Welsh in Wales): Can speak English very well,Proficiency in English language: Main language is not English (English or Welsh in Wales): Can speak English well,Proficiency in English language: Main language is not English (English or Welsh in Wales): Cannot speak English well,Proficiency in English language: Main language is not English (English or Welsh in Wales): Cannot speak English,language_fluency,General health: Total: All usual residents,General health: Very good health,General health: Good health,General health: Fair health,General health: Bad health,General health: Very bad health,health,Occupancy rating for bedrooms: Total: All households,Occupancy rating for bedrooms: Occupancy rating of bedrooms: +2 or more,Occupancy rating for bedrooms: Occupancy rating of bedrooms: +1,Occupancy rating for bedrooms: Occupancy rating of bedrooms: 0,Occupancy rating for bedrooms: Occupancy rating of bedrooms: -1,Occupancy rating for bedrooms: Occupancy rating of bedrooms: -2 or less,Occupancy_rating_for_bedrooms,Highest level of qualification: Total: All usual residents aged 16 years and over,Highest level of qualification: No qualifications,Highest level of qualification: Level 1 and entry level qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,education,Local authority name,Year ending Dec 2022,Name,Geography,Mid-2022,Mid-2011
E06000001,40930.0,13616.0,5647.0,7969.0,25845.0,3669.0,11290.0,4501.0,4275.0,2514.0,5067.0,2236.0,2432.0,399.0,5628.0,3886.0,1742.0,191.0,191.0,1469.0,687.0,782.0,985.5,40932.0,13616.0,26300.0,176.0,606.0,234.0,0.024821655,89420.0,87544.0,1876.0,633.0,658.0,475.0,110.0,0.993457839,92338.0,39817.0,30749.0,14415.0,5625.0,1732.0,0.920325327,40932.0,15519.0,15242.0,9406.0,696.0,69.0,0.751514707,74686.0,17286.0,7076.0,10963.0,5205.0,13776.0,18526.0,1854.0,0.768551,Hartlepool,"148,000",Hartlepool,Unitary Authority,"93,861","92,088"
E06000002,60261.0,19964.0,7739.0,12225.0,36756.0,4496.0,15641.0,5343.0,7052.0,3246.0,6837.0,3073.0,3197.0,567.0,9166.0,6236.0,2930.0,616.0,616.0,3541.0,1549.0,1992.0,2671.2,60262.0,19964.0,36915.0,735.0,1624.0,1024.0,0.056138197,138817.0,128306.0,10511.0,3724.0,4111.0,2281.0,395.0,0.980722822,143924.0,67207.0,46382.0,19821.0,7969.0,2545.0,0.926947556,60262.0,21319.0,21670.0,15214.0,1707.0,352.0,0.713368292,113939.0,27282.0,11221.0,15270.0,7040.0,19976.0,30127.0,3023.0,0.760556087,Middlesbrough,"150,000",Middlesbrough,Unitary Authority,"148,285","138,368"
E06000003,61640.0,20663.0,9739.0,10924.0,39003.0,6861.0,16823.0,6862.0,6252.0,3709.0,7239.0,3224.0,3403.0,612.0,7803.0,5170.0,2633.0,277.0,277.0,1974.0,965.0,1009.0,557.1,61638.0,20663.0,39331.0,323.0,1023.0,298.0,0.026671858,132655.0,131197.0,1458.0,536.0,513.0,330.0,79.0,0.996916814,136531.0,58085.0,46416.0,21633.0,7916.0,2481.0,0.923848796,61638.0,24552.0,22863.0,13129.0,978.0,116.0,0.769249489,112342.0,24732.0,10983.0,15663.0,8692.0,21300.0,28003.0,2969.0,0.779850813,Redcar and Cleveland,"155,000",Redcar and Cleveland,Unitary Authority,"137,175","135,164"
E06000004,83756.0,25980.0,10812.0,15168.0,54449.0,7855.0,25861.0,9359.0,11570.0,4932.0,10203.0,4959.0,4570.0,674.0,10107.0,6697.0,3410.0,423.0,423.0,3327.0,1656.0,1671.0,959.3,83759.0,25980.0,54307.0,696.0,2088.0,688.0,0.041452262,190452.0,184786.0,5666.0,2451.0,1883.0,1099.0,233.0,0.993006112,196595.0,91479.0,65521.0,27307.0,9392.0,2896.0,0.937495867,83757.0,35963.0,29707.0,16406.0,1393.0,288.0,0.78405387,158010.0,29441.0,15324.0,23005.0,10565.0,29004.0,46648.0,4023.0,0.81367635,Stockton-on-Tees,"165,000",Stockton-on-Tees,Unitary Authority,"199,966","191,824"
E06000005,48915.0,16714.0,6851.0,9863.0,30395.0,4604.0,13879.0,5643.0,5802.0,2434.0,5907.0,3092.0,2451.0,364.0,5757.0,3901.0,1856.0,248.0,248.0,1806.0,790.0,1016.0,545.9,48918.0,16714.0,30004.0,360.0,1424.0,416.0,0.04497322,104602.0,100200.0,4402.0,1807.0,1690.0,785.0,120.0,0.991348158,107800.0,48749.0,37324.0,15383.0,5016.0,1328.0,0.941150278,48917.0,17569.0,19069.0,11282.0,905.0,92.0,0.748982971,88107.0,16972.0,8276.0,12733.0,6215.0,16141.0,25517.0,2253.0,0.807370583,Darlington,"166,995",Darlington,Unitary Authority,"109,469","105,584"
E06000006,55949.0,17702.0,7155.0,10547.0,35989.0,4776.0,15944.0,5777.0,6560.0,3607.0,7049.0,3266.0,3223.0,560.0,7863.0,5147.0,2716.0,357.0,357.0,2258.0,1083.0,1175.0,1624.3,55951.0,17702.0,35879.0,451.0,1492.0,427.0,0.042358492,124434.0,121114.0,3320.0,1271.0,1282.0,617.0,150.0,0.99383609,128480.0,59066.0,41455.0,18088.0,7491.0,2380.0,0.923170922,55952.0,21441.0,19918.0,13390.0,1091.0,112.0,0.73918716,103948.0,21865.0,12338.0,17403.0,5718.0,19057.0,24876.0,2691.0,0.789654443,Halton,"173,000",Halton,Unitary Authority,"128,964","125,722"
E06000007,90538.0,27364.0,11444.0,15920.0,59467.0,8742.0,29538.0,10366.0,13494.0,5678.0,11000.0,5695.0,4612.0,693.0,9677.0,6154.0,3523.0,510.0,510.0,3707.0,1523.0,2184.0,1168.0,90538.0,27364.0,57844.0,896.0,3493.0,941.0,0.058870309,204703.0,193572.0,11131.0,4783.0,4339.0,1762.0,247.0,0.990185781,210974.0,105613.0,69138.0,25599.0,8265.0,2359.0,0.949643084,90538.0,37494.0,30795.0,20269.0,1798.0,182.0,0.754257881,172717.0,28453.0,17238.0,25489.0,10298.0,29830.0,56955.0,4454.0,0.835262308,Warrington,"250,000",Warrington,Unitary Authority,"211,580","202,709"
E06000008,58767.0,17578.0,6674.0,10904.0,37055.0,3943.0,18688.0,5252.0,9908.0,3528.0,6149.0,2666.0,2987.0,496.0,7826.0,5137.0,2689.0,449.0,449.0,4134.0,2548.0,1586.0,1129.4,58767.0,17578.0,37636.0,701.0,1985.0,867.0,0.060459101,148716.0,130160.0,18556.0,5258.0,7133.0,5049.0,1116.0,0.958545146,154738.0,73950.0,50010.0,20507.0,7826.0,2445.0,0.933623286,58766.0,16344.0,21980.0,16722.0,3006.0,714.0,0.652145799,119508.0,28923.0,12968.0,16574.0,6550.0,18823.0,32054.0,3616.0,0.757982729,Blackburn with Darwen,"150,000",Blackburn with Darwen,Unitary Authority,"155,762","147,657"
E06000009,64789.0,24588.0,9798.0,14790.0,36337.0,4969.0,14102.0,5915.0,5266.0,2921.0,7876.0,3805.0,3485.0,586.0,8885.0,5799.0,3086.0,505.0,505.0,3864.0,1523.0,2341.0,4041.1,64789.0,24588.0,36982.0,662.0,1787.0,770.0,0.04968436,136703.0,130665.0,6038.0,2421.0,2479.0,985.0,153.0,0.991675384,141036.0,56933.0,47255.0,23963.0,9777.0,3108.0,0.908640347,64791.0,21009.0,23441.0,18851.0,1354.0,136.0,0.686052075,116340.0,28575.0,13677.0,17470.0,7889.0,19382.0,26177.0,3170.0,0.754383703,Blackpool,"135,000",Blackpool,Unitary Authority,"141,574","142,080"
E06000010,115472.0,39446.0,13982.0,25464.0,69264.0,7294.0,27650.0,10551.0,11915.0,5184.0,17924.0,8421.0,8224.0,1279.0,15491.0,10460.0,5031.0,905.0,905.0,6762.0,2529.0,4233.0,3730.1,115472.0,39446.0,69204.0,1406.0,3176.0,2240.0,0.059079257,257576.0,231761.0,25815.0,8630.0,9652.0,6292.0,1241.0,0.970754263,267014.0,115776.0,93150.0,39851.0,13999.0,4238.0,0.93170021,115472.0,31467.0,44889.0,34970.0,3625.0,521.0,0.661251212,213880.0,54010.0,24163.0,30143.0,14691.0,37418.0,46511.0,6944.0,0.74747522,"Kingston upon Hull, City of","135,000","Kingston upon Hull, City of",Unitary Authority,"268,852","256,123"
