date,geography,geography code,Proficiency in English language: Total: All usual residents aged 3 years and over,Proficiency in English language: Main language is English (English or Welsh in Wales),Proficiency in English language: Main language is not English (English or Welsh in Wales),Proficiency in English language: Main language is not English (English or Welsh in Wales): Can speak English very well,Proficiency in English language: Main language is not English (English or Welsh in Wales): Can speak English well,Proficiency in English language: Main language is not English (English or Welsh in Wales): Cannot speak English well,Proficiency in English language: Main language is not English (English or Welsh in Wales): Cannot speak English
2021,Hartlepool,E06000001,89420,87544,1876,633,658,475,110
2021,Middlesbrough,E06000002,138817,128306,10511,3724,4111,2281,395
2021,Redcar and Cleveland,E06000003,132655,131197,1458,536,513,330,79
2021,Stockton-on-Tees,E06000004,190452,184786,5666,2451,1883,1099,233
2021,Darlington,E06000005,104602,100200,4402,1807,1690,785,120
2021,Halton,E06000006,124434,121114,3320,1271,1282,617,150
2021,Warrington,E06000007,204703,193572,11131,4783,4339,1762,247
2021,Blackburn with Darwen,E06000008,148716,130160,18556,5258,7133,5049,1116
2021,Blackpool,E06000009,136703,130665,6038,2421,2479,985,153
2021,"Kingston upon Hull, City of",E06000010,257576,231761,25815,8630,9652,6292,1241
2021,East Riding of Yorkshire,E06000011,333816,326484,7332,3155,2581,1353,243
2021,North East Lincolnshire,E06000012,152057,146176,5881,1962,2501,1287,131
2021,North Lincolnshire,E06000013,164787,154264,10523,3354,4419,2396,354
2021,York,E06000014,197734,187680,10054,5176,3620,1147,111
2021,Derby,E06000015,252288,219616,32672,12624,11811,6781,1456
2021,Leicester,E06000016,355572,248771,106801,36216,38545,24541,7499
2021,Rutland,E06000017,40158,39386,772,460,212,90,10
2021,Nottingham,E06000018,313270,268420,44850,18434,16945,8092,1379
2021,"Herefordshire, County of",E06000019,182163,173475,8688,3345,3514,1551,278
2021,Telford and Wrekin,E06000020,179310,167409,11901,4729,4723,2097,352
2021,Stoke-on-Trent,E06000021,248992,227019,21973,8124,9009,4166,674
2021,Bath and North East Somerset,E06000022,188178,178953,9225,5498,2793,783,151
2021,"Bristol, City of",E06000023,456938,410701,46237,22748,16342,6195,952
2021,North Somerset,E06000024,210519,202255,8264,3948,3099,1035,182
2021,South Gloucestershire,E06000025,280905,265801,15104,7835,5161,1829,279
2021,Plymouth,E06000026,256934,245374,11560,5556,4188,1569,247
2021,Torbay,E06000027,135817,131835,3982,1948,1461,489,84
2021,Swindon,E06000030,225532,202988,22544,10415,8117,3322,690
2021,Peterborough,E06000031,207414,166028,41386,14957,17027,8029,1373
2021,Luton,E06000032,215750,165995,49755,17556,20225,10203,1771
2021,Southend-on-Sea,E06000033,174698,164381,10317,5031,3640,1419,227
2021,Thurrock,E06000034,168818,149725,19093,8087,7862,2700,444
2021,Medway,E06000035,269651,252098,17553,8060,6392,2704,397
2021,Bracknell Forest,E06000036,120401,111127,9274,5053,3091,924,206
2021,West Berkshire,E06000037,156687,149182,7505,4191,2378,793,143
2021,Reading,E06000038,168171,136436,31735,15464,11135,4167,969
2021,Slough,E06000039,151654,110212,41442,17754,15836,6733,1119
2021,Windsor and Maidenhead,E06000040,148868,135982,12886,7778,3619,1303,186
2021,Wokingham,E06000041,171953,158226,13727,8715,3572,1194,246
2021,Milton Keynes,E06000042,276869,241997,34872,17378,12745,4158,591
2021,Brighton and Hove,E06000043,270191,245614,24577,13957,7502,2732,386
2021,Portsmouth,E06000044,201275,182731,18544,8806,6639,2694,405
2021,Southampton,E06000045,240647,203603,37044,16807,14078,5398,761
2021,Isle of Wight,E06000046,137289,134738,2551,1388,787,306,70
2021,County Durham,E06000047,507667,498104,9563,4760,3296,1243,264
2021,Cheshire East,E06000049,387330,370917,16413,7066,6143,2748,456
2021,Cheshire West and Chester,E06000050,346930,335329,11601,5802,3847,1664,288
2021,Shropshire,E06000051,315321,307064,8257,3582,2938,1425,312
2021,Cornwall,E06000052,555571,545343,10228,5384,3256,1327,261
2021,Isles of Scilly,E06000053,1986,1940,46,27,14,4,1
2021,Wiltshire,E06000054,495550,478350,17200,8454,6265,2133,348
2021,Bedford,E06000055,178689,156968,21721,8565,8347,4156,653
2021,Central Bedfordshire,E06000056,283716,269941,13775,6930,5066,1503,276
2021,Northumberland,E06000057,312457,308943,3514,1620,1134,604,156
2021,"Bournemouth, Christchurch and Poole",E06000058,389187,356973,32214,16402,11476,3777,559
2021,Dorset,E06000059,371010,364215,6795,3553,2374,740,128
2021,Buckinghamshire,E06000060,535315,496435,38880,19722,13084,5168,906
2021,North Northamptonshire,E06000061,347675,314820,32855,12735,13957,5391,772
2021,West Northamptonshire,E06000062,411716,366766,44950,17494,18528,7783,1145
2021,Bolton,E08000001,285084,253869,31215,9764,12303,7590,1558
2021,Bury,E08000002,187212,174961,12251,4485,4590,2631,545
2021,Manchester,E08000003,531481,434289,97192,40168,35592,17854,3578
2021,Oldham,E08000004,232730,207898,24832,6692,9247,7246,1647
2021,Rochdale,E08000005,215162,194800,20362,6225,7872,5278,987
2021,Salford,E08000006,259369,229864,29505,12290,10804,5532,879
2021,Stockport,E08000007,285040,272788,12252,5746,4107,2010,389
2021,Tameside,E08000008,223042,209879,13163,4738,4819,2991,615
2021,Trafford,E08000009,227383,211103,16280,8555,5017,2349,359
2021,Wigan,E08000010,319101,307912,11189,4365,4450,2067,307
2021,Knowsley,E08000011,148762,144261,4501,1961,1631,760,149
2021,Liverpool,E08000012,470440,425452,44988,17762,16314,9306,1606
2021,St. Helens,E08000013,177607,172666,4941,1860,1962,948,171
2021,Sefton,E08000014,271418,261763,9655,3519,3790,2036,310
2021,Wirral,E08000015,310688,303454,7234,3326,2378,1242,288
2021,Barnsley,E08000016,236705,226571,10134,3626,4439,1793,276
2021,Doncaster,E08000017,297971,276387,21584,7260,9287,4295,742
2021,Rotherham,E08000018,257307,246654,10653,3900,4062,2292,399
2021,Sheffield,E08000019,538810,491478,47332,18228,18070,9322,1712
2021,Newcastle upon Tyne,E08000021,290963,260069,30894,13352,10933,5653,956
2021,North Tyneside,E08000022,202571,197592,4979,2397,1487,896,199
2021,South Tyneside,E08000023,143311,140074,3237,1298,1114,677,148
2021,Sunderland,E08000024,266238,259351,6887,3125,2357,1152,253
2021,Birmingham,E08000025,1100907,929445,171462,57964,62499,42140,8859
2021,Coventry,E08000026,333212,274880,58332,25437,21505,9874,1516
2021,Dudley,E08000027,312870,298942,13928,4968,5211,3097,652
2021,Sandwell,E08000028,328748,274709,54039,17226,20420,13420,2973
2021,Solihull,E08000029,209530,200119,9411,5435,2617,1151,208
2021,Walsall,E08000030,273406,246705,26701,9413,9780,6248,1260
2021,Wolverhampton,E08000031,254174,215986,38188,13082,14738,8677,1691
2021,Bradford,E08000032,525118,459904,65214,18591,24829,17951,3843
2021,Calderdale,E08000033,200060,190762,9298,3244,3313,2267,474
2021,Kirklees,E08000034,418493,386069,32424,10235,12192,8405,1592
2021,Leeds,E08000035,784392,713111,71281,30199,26188,12776,2118
2021,Wakefield,E08000036,341492,322562,18930,6706,7658,3885,681
2021,Gateshead,E08000037,190305,182293,8012,3187,2864,1581,380
2021,City of London,E09000001,8450,6624,1826,1305,386,116,19
2021,Barking and Dagenham,E09000002,208900,158652,50248,19341,20302,9296,1309
2021,Barnet,E09000003,375102,289057,86045,38886,31657,13502,2000
2021,Bexley,E09000004,237637,214970,22667,11147,7639,3324,557
2021,Brent,E09000005,327771,217371,110400,43039,42680,20618,4063
2021,Bromley,E09000006,318609,292904,25705,14952,7604,2707,442
2021,Camden,E09000007,204034,160655,43379,25430,11891,5198,860
2021,Croydon,E09000008,375572,315336,60236,27514,21728,9490,1504
2021,Ealing,E09000009,354356,244855,109501,45696,40933,19432,3440
2021,Enfield,E09000010,317640,242839,74801,25292,28460,17997,3052
2021,Greenwich,E09000011,277592,227031,50561,24449,16854,7724,1534
2021,Hackney,E09000012,249197,199667,49530,23015,14674,9972,1869
2021,Hammersmith and Fulham,E09000013,177638,139670,37968,22711,10975,3737,545
2021,Haringey,E09000014,255132,185666,69466,25880,24854,15762,2970
2021,Harrow,E09000015,251844,174443,77401,34239,29168,11974,2020
2021,Havering,E09000016,252282,227346,24936,11539,9198,3567,632
2021,Hillingdon,E09000017,294238,229263,64975,30038,23689,9509,1739
2021,Hounslow,E09000018,277408,198853,78555,36348,28032,11898,2277
2021,Islington,E09000019,209638,169831,39807,22659,10992,5286,870
2021,Kensington and Chelsea,E09000020,139648,106682,32966,20887,8669,2998,412
2021,Kingston upon Thames,E09000021,162502,134395,28107,14243,9451,3880,533
2021,Lambeth,E09000022,308298,253317,54981,25584,18080,9452,1865
2021,Lewisham,E09000023,288893,242028,46865,22055,15373,7987,1450
2021,Merton,E09000024,206967,162563,44404,20874,15867,6715,948
2021,Newham,E09000025,336598,220022,116576,43497,45802,23756,3521
2021,Redbridge,E09000026,297637,218924,78713,32968,30036,13705,2004
2021,Richmond upon Thames,E09000027,188888,167514,21374,13209,5731,2087,347
2021,Southwark,E09000028,297729,244002,53727,27450,16058,8603,1616
2021,Sutton,E09000029,202254,173379,28875,15289,9709,3363,514
2021,Tower Hamlets,E09000030,298754,218131,80623,37285,24671,15566,3101
2021,Waltham Forest,E09000031,266638,206863,59775,22586,24055,11456,1678
2021,Wandsworth,E09000032,315844,261751,54093,30641,16100,6292,1060
2021,Westminster,E09000033,198988,146375,52613,30418,14911,6296,988
2021,Cambridgeshire,E10000003,658733,597331,61402,34060,19137,7097,1108
2021,Cumbria,E10000006,486837,476404,10433,4670,3881,1606,276
2021,Derbyshire,E10000007,772345,756640,15705,7134,5535,2552,484
2021,Devon,E10000008,791215,770106,21109,11043,7120,2474,472
2021,East Sussex,E10000011,531367,511759,19608,10103,6671,2401,433
2021,Essex,E10000012,1455046,1391523,63523,32906,21546,7775,1296
2021,Gloucestershire,E10000013,626366,599366,27000,12982,9724,3681,613
2021,Hampshire,E10000014,1359581,1301079,58502,29471,19702,7203,2126
